,uniqueid,salary,games,bats,runs,rbi,hits,doubles,triples,homeruns,walks,strike_outs,weight,height
659,2015SFNduffyma01,509000,149.0,573.0,77.0,77.0,169.0,28.0,6.0,12.0,30.0,96.0,190,74
660,2015SFNgarcija01,5000000,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,72
661,2015SFNhudsoti01,12000000,24.0,38.0,3.0,1.0,7.0,2.0,0.0,1.0,1.0,11.0,175,73
662,2015SFNishiktr01,1100000,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,220,75
663,2015SFNkontoge01,517500,73.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225,75
664,2015SFNlinceti01,18000000,16.0,21.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,10.0,170,71
665,2015SFNlopezja02,4000000,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,76
666,2015SFNmachije01,527500,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,257,71
667,2015SFNmaxweju01,1000000,100.0,249.0,26.0,26.0,52.0,8.0,2.0,7.0,20.0,76.0,225,76
668,2015SFNmcgehca01,4800000,49.0,127.0,7.0,11.0,27.0,5.0,0.0,2.0,11.0,28.0,220,73
669,2015SFNpaganan01,10250000,133.0,512.0,55.0,37.0,134.0,21.0,3.0,3.0,32.0,93.0,200,74
670,2015SFNpanikjo01,522500,100.0,382.0,59.0,37.0,119.0,27.0,2.0,8.0,38.0,42.0,205,73
671,2015SFNpeavyja01,9000000,19.0,36.0,5.0,3.0,7.0,2.0,0.0,1.0,1.0,17.0,195,73
672,2015SFNpencehu01,18500000,52.0,207.0,30.0,40.0,57.0,13.0,1.0,9.0,16.0,48.0,216,76
673,2015SFNpetityu01,2100000,42.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,252,73
674,2015SFNposeybu01,16500000,150.0,557.0,74.0,95.0,177.0,28.0,0.0,19.0,56.0,52.0,213,73
675,2015SFNromose01,6000000,70.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,185,71
676,2015SFNsanchhe01,800000,28.0,56.0,5.0,5.0,10.0,4.0,0.0,1.0,2.0,14.0,220,72
677,2015SFNvogelry01,4000000,33.0,36.0,3.0,2.0,5.0,1.0,0.0,1.0,1.0,13.0,215,76
678,2015SLNadamsma01,534000,60.0,175.0,14.0,24.0,42.0,9.0,0.0,5.0,10.0,41.0,245,75
679,2015SLNbelisma01,3500000,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,75
680,2015SLNbourjpe01,1650000,117.0,195.0,32.0,13.0,39.0,8.0,3.0,4.0,19.0,59.0,190,73
681,2015SLNcarpema01,3750000,154.0,574.0,101.0,84.0,156.0,44.0,3.0,28.0,81.0,151.0,210,76
682,2015SLNchoatra01,3000000,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,205,73
683,2015SLNcruzto03,775000,69.0,142.0,6.0,11.0,29.0,7.0,1.0,2.0,6.0,32.0,215,71
684,2015SLNgarcija02,9250000,20.0,41.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,15.0,215,74
685,2015SLNgrichra01,510000,103.0,323.0,49.0,47.0,89.0,23.0,7.0,17.0,22.0,110.0,216,74
686,2015SLNheywaja01,7800000,154.0,547.0,79.0,60.0,160.0,33.0,4.0,13.0,56.0,90.0,240,77
687,2015SLNhollima01,17000000,73.0,229.0,24.0,35.0,64.0,16.0,1.0,4.0,39.0,49.0,240,76
688,2015SLNjayjo02,4125000,79.0,210.0,25.0,10.0,44.0,5.0,1.0,1.0,19.0,36.0,200,71
689,2015SLNkozmape01,522000,76.0,99.0,15.0,2.0,15.0,0.0,0.0,0.0,10.0,21.0,190,72
690,2015SLNlackejo01,507500,33.0,62.0,0.0,3.0,7.0,2.0,0.0,0.0,4.0,24.0,235,78
691,2015SLNlynnla01,7000000,31.0,50.0,3.0,1.0,8.0,2.0,0.0,0.0,0.0,26.0,270,77
692,2015SLNmanesse01,530000,77.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,190,72
693,2015SLNmartica04,520000,32.0,56.0,2.0,0.0,8.0,2.0,0.0,0.0,1.0,23.0,200,72
694,2015SLNmolinya01,15000000,136.0,488.0,34.0,61.0,132.0,23.0,2.0,4.0,32.0,59.0,225,71
