,salary,games,bats,runs,rbi,hits,doubles,triples,homeruns,walks,strike_outs,weight,height
664,18000000,16.0,21.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,10.0,170,71
665,4000000,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,76
666,527500,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,257,71
667,1000000,100.0,249.0,26.0,26.0,52.0,8.0,2.0,7.0,20.0,76.0,225,76
668,4800000,49.0,127.0,7.0,11.0,27.0,5.0,0.0,2.0,11.0,28.0,220,73
669,10250000,133.0,512.0,55.0,37.0,134.0,21.0,3.0,3.0,32.0,93.0,200,74
670,522500,100.0,382.0,59.0,37.0,119.0,27.0,2.0,8.0,38.0,42.0,205,73
671,9000000,19.0,36.0,5.0,3.0,7.0,2.0,0.0,1.0,1.0,17.0,195,73
672,18500000,52.0,207.0,30.0,40.0,57.0,13.0,1.0,9.0,16.0,48.0,216,76
673,2100000,42.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,252,73
674,16500000,150.0,557.0,74.0,95.0,177.0,28.0,0.0,19.0,56.0,52.0,213,73
675,6000000,70.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,185,71
676,800000,28.0,56.0,5.0,5.0,10.0,4.0,0.0,1.0,2.0,14.0,220,72
677,4000000,33.0,36.0,3.0,2.0,5.0,1.0,0.0,1.0,1.0,13.0,215,76
678,534000,60.0,175.0,14.0,24.0,42.0,9.0,0.0,5.0,10.0,41.0,245,75
679,3500000,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,75
680,1650000,117.0,195.0,32.0,13.0,39.0,8.0,3.0,4.0,19.0,59.0,190,73
681,3750000,154.0,574.0,101.0,84.0,156.0,44.0,3.0,28.0,81.0,151.0,210,76
682,3000000,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,205,73
683,775000,69.0,142.0,6.0,11.0,29.0,7.0,1.0,2.0,6.0,32.0,215,71
684,9250000,20.0,41.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,15.0,215,74
685,510000,103.0,323.0,49.0,47.0,89.0,23.0,7.0,17.0,22.0,110.0,216,74
686,7800000,154.0,547.0,79.0,60.0,160.0,33.0,4.0,13.0,56.0,90.0,240,77
687,17000000,73.0,229.0,24.0,35.0,64.0,16.0,1.0,4.0,39.0,49.0,240,76
688,4125000,79.0,210.0,25.0,10.0,44.0,5.0,1.0,1.0,19.0,36.0,200,71
689,522000,76.0,99.0,15.0,2.0,15.0,0.0,0.0,0.0,10.0,21.0,190,72
690,507500,33.0,62.0,0.0,3.0,7.0,2.0,0.0,0.0,4.0,24.0,235,78
691,7000000,31.0,50.0,3.0,1.0,8.0,2.0,0.0,0.0,0.0,26.0,270,77
692,530000,77.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,190,72
693,520000,32.0,56.0,2.0,0.0,8.0,2.0,0.0,0.0,1.0,23.0,200,72
694,15000000,136.0,488.0,34.0,61.0,132.0,23.0,2.0,4.0,32.0,59.0,225,71
695,15000000,155.0,579.0,64.0,71.0,159.0,26.0,1.0,17.0,50.0,111.0,225,74
696,2000000,140.0,382.0,35.0,48.0,88.0,21.0,2.0,13.0,44.0,121.0,220,74
697,535000,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,230,74
698,518000,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,77
699,2000000,35.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,220,74
700,520000,30.0,52.0,5.0,4.0,8.0,1.0,0.0,0.0,4.0,20.0,215,78
701,19500000,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,230,79
702,2675000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,77
703,520000,150.0,557.0,71.0,61.0,146.0,28.0,4.0,11.0,36.0,95.0,185,67
704,507500,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,74
705,1166667,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,195,74
706,508100,82.0,203.0,24.0,37.0,45.0,7.0,4.0,9.0,13.0,69.0,215,72
707,513600,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,73
708,521400,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,70
709,7500000,143.0,505.0,66.0,58.0,134.0,28.0,5.0,15.0,36.0,107.0,235,72
710,510800,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,73
711,5000000,82.0,232.0,24.0,26.0,60.0,8.0,2.0,5.0,19.0,39.0,190,71
712,1100000,153.0,540.0,69.0,68.0,152.0,33.0,2.0,17.0,55.0,111.0,195,73
713,1021800,44.0,101.0,11.0,7.0,16.0,4.0,1.0,3.0,7.0,37.0,190,73
714,800000,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,72
715,515800,128.0,332.0,51.0,28.0,88.0,21.0,2.0,8.0,25.0,61.0,210,74
716,3175000,70.0,185.0,23.0,22.0,53.0,17.0,0.0,5.0,28.0,39.0,202,74
717,3100000,28.0,97.0,9.0,7.0,26.0,2.0,1.0,1.0,8.0,17.0,210,74
718,3025000,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,75
719,508800,27.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,225,75
720,513800,151.0,505.0,62.0,40.0,133.0,25.0,12.0,10.0,24.0,95.0,210,73
721,8666666,104.0,361.0,25.0,32.0,101.0,16.0,0.0,4.0,23.0,34.0,235,75
722,11000000,160.0,604.0,74.0,73.0,163.0,35.0,1.0,21.0,51.0,132.0,213,73
723,3550000,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,76
724,3000000,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,75
725,522000,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,190,74
726,522800,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,220,72
727,1200000,110.0,298.0,16.0,26.0,53.0,14.0,0.0,5.0,11.0,86.0,215,70
728,2650000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,74
729,508700,110.0,373.0,59.0,40.0,84.0,15.0,1.0,16.0,46.0,144.0,225,76
730,700000,25.0,55.0,3.0,4.0,8.0,0.0,0.0,0.0,4.0,20.0,230,72
732,512800,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,70
733,15000000,160.0,596.0,69.0,62.0,154.0,34.0,2.0,7.0,46.0,78.0,210,72
734,725000,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,74
735,16000000,143.0,567.0,83.0,83.0,163.0,32.0,4.0,18.0,41.0,65.0,220,71
736,518290,78.0,233.0,33.0,34.0,54.0,16.0,1.0,10.0,28.0,62.0,220,73
