uniqueid, salary ,games,bats,runs,rbi,hits,doubles,triples,homeruns,walks,strike_outs,weight,height
2015LANrolliji01,11000000,144,517,71,41,116,24,3,13,44,86,175,67
2015MIApradoma01,11000000,129,500,52,63,144,22,2,9,37,68,215,72
2015MILlohseky01,11000000,41,39,3,1,9,1,0,0,0,10,215,74
2015NYNcolonba01,11000000,33,58,2,4,8,1,0,0,0,24,285,71
2015OAKcrispco01,11000000,44,126,11,6,22,6,0,0,13,25,185,70
2015TBAlongoev01,11000000,160,604,74,73,163,35,1,21,51,132,213,73
2015WASdesmoia01,11000000,156,583,69,62,136,27,2,19,45,187,217,75
2015WASgonzagi01,11000000,31,43,1,2,4,1,0,0,1,18,205,72
2015BOScastiru01,11271000,80,273,35,29,69,10,2,5,13,54,207,69
2015WASfistedo01,11400000,29,31,2,0,7,1,0,0,2,15,210,80
2015BALhardyjj01,11500000,114,411,45,37,90,14,0,8,20,88,200,73
2015PITliriafr01,11666666,31,65,4,7,11,2,0,1,0,28,220,75
2015ARIhillaa01,12000000,116,313,32,39,72,18,0,6,31,54,200,71
2015ATLcahiltr01,12000000,15,5,0,0,1,0,0,0,0,2,223,76
2015BALdavisch02,12000000,160,573,100,117,150,31,0,47,84,208,255,76
2015BOSbuchhcl01,12000000,18,6,0,0,0,0,0,0,0,2,190,75
2015CHAlarocad01,12000000,127,429,41,44,89,21,0,12,49,133,205,74
2015CHNmontemi01,12000000,113,347,36,53,86,11,0,15,49,103,221,71
2015CINbruceja01,12000000,157,580,72,87,131,35,4,26,58,145,230,75
2015CINphillbr01,12000000,148,588,69,70,173,19,2,12,27,68,211,72
2015MINnolasri01,12000000,9,3,0,0,0,0,0,0,0,3,235,74
2015SFNhudsoti01,12000000,24,38,3,1,7,2,0,1,1,11,175,73
2015TORdickera01,12000000,33,3,0,0,0,0,0,0,0,1,215,75
2015BALjimenub01,12250000,32,8,0,2,2,0,0,0,0,4,221,77
2015BOSpedrodu01,12500000,93,381,46,42,111,19,1,12,38,51,170,69
2015BOSporceri01,12500000,28,2,0,0,0,0,0,0,0,2,205,77
2015COLdelarjo01,12500000,26,48,0,3,3,0,0,0,0,18,215,73
2015KCAgordoal01,12500000,104,354,40,48,96,18,0,13,49,92,220,73
2015LANmccarbr01,12500000,4,6,0,1,0,0,0,0,1,5,225,80
2015MILgarzama01,12500000,26,39,0,0,3,0,0,0,1,21,220,76
2015NYAgardnbr01,12500000,151,571,94,66,148,26,3,16,68,135,195,71
2015BOSvictosh01,13000000,33,94,10,4,23,2,0,1,9,14,190,69
2015CHAcabreme01,13000000,158,629,70,77,172,36,2,12,40,88,210,70
2015CHNjacksed01,13000000,23,0,0,0,0,0,0,0,0,0,215,74
2015MILbraunry02,13000000,140,506,87,84,144,27,3,25,54,115,205,74
2015NYAheadlch01,13000000,156,580,74,62,150,29,1,11,51,135,215,74
2015OAKkazmisc01,13000000,18,2,1,1,1,0,0,0,0,1,185,72
2015PHIpapeljo01,13000000,37,0,0,0,0,0,0,0,0,0,230,77
2015BALjonesad01,13333333,137,546,74,82,147,25,3,27,24,102,215,74
2015CLEbournmi01,13500000,95,289,29,19,71,12,1,0,29,76,190,71
2015MINsantaer01,13500000,17,0,0,0,0,0,0,0,0,0,175,74
2015CINvottojo01,14000000,158,545,95,80,171,33,2,29,143,135,220,74
2015DETmartivi01,14000000,120,440,39,64,108,20,0,11,31,52,235,74
2015MILramirar01,14000000,81,279,25,42,69,18,0,11,16,42,205,73
2015TEXchoosh01,14000000,149,555,94,82,153,32,3,22,76,147,205,71
2015TEXgallayo01,14000000,33,4,0,0,2,1,0,0,0,1,205,74
2015TORbautijo02,14000000,153,543,108,114,136,29,3,40,110,106,205,72
2015WASzimmery01,14000000,95,346,43,73,86,25,1,16,33,79,215,75
